preprocess,seed,objective_final,objective_delta_last10,objective_still_changing,fit_sec,cluster_frac_min,cluster_frac_mid,cluster_frac_max,margin_mean,margin_median,margin_p10,margin_p25,margin_lt_0p01_frac
pca64_l2,18,0.1847875863313675,0.0,0,0.16480923676863313,0.3153421426082445,0.32817901712938996,0.3564788402623656,0.22333964705467224,0.21214786171913147,0.04684047773480415,0.11262345314025879,0.02128120317942934
pca64_l2,19,0.18214458227157593,7.450580596923828e-08,0,0.16468331590294838,0.32637407210766356,0.33014335132782174,0.3434825765645147,0.21497994661331177,0.19380657374858856,0.044014062732458115,0.10646703094244003,0.022618973028053595
pca128_l2,0,0.1525554209947586,2.9802322387695312e-08,0,0.3063379009254277,0.31887838385970235,0.33761925333315745,0.3435023628071402,0.1875644475221634,0.18601739406585693,0.04383120685815811,0.10326947271823883,0.022208958111425127
pca128_l2,1,0.15477941930294037,0.0,0,0.30539953196421266,0.30820260672754235,0.3379677110505066,0.3538296822219511,0.1960577517747879,0.2058197557926178,0.05134201794862747,0.1236579641699791,0.019633448863005554
pca128_l2,2,0.15568439662456512,6.854534149169922e-07,0,0.3038650080561638,0.31292052635802325,0.32044809244132555,0.3666313812006512,0.19331595301628113,0.1901819109916687,0.04338251054286957,0.10556524991989136,0.022983919280923974
pca128_l2,3,0.15443521738052368,5.811452865600586e-07,0,0.30435018008574843,0.32200790790163597,0.3353867056235799,0.34260538647478406,0.1911529004573822,0.19796517491340637,0.047676555812358856,0.11240331828594208,0.02101408890398506
pca128_l2,4,0.1570586860179901,7.450580596923828e-08,0,0.3054253328591585,0.3174526751549648,0.3280602996736369,0.35448702517139835,0.19425800442695618,0.19767838716506958,0.046350378543138504,0.11208069324493408,0.021341661143007267
pca128_l2,5,0.15744979679584503,0.00010699033737182617,1,0.30387395806610584,0.3099525899641979,0.3397825491935457,0.3502648608422564,0.19491735100746155,0.19444115459918976,0.047262538224458694,0.11276963353157043,0.021008592725477976
pca128_l2,6,0.15527202188968658,4.4405460357666016e-06,0,0.3055653078481555,0.30845872864597246,0.3442179652487625,0.347323306105265,0.19364231824874878,0.19420526921749115,0.045925889164209366,0.10978972911834717,0.021853904979867497
pca128_l2,7,0.15587261319160461,0.0004491955041885376,1,0.3036726787686348,0.3133118542677277,0.3268071709740218,0.3598809747582506,0.1901949793100357,0.19344447553157806,0.043997544795274734,0.10624832659959793,0.02269921723425702
pca128_l2,8,0.15524497628211975,0.00010436773300170898,1,0.30541348503902555,0.33209889164064227,0.33322450899889305,0.3346765993604647,0.19132846593856812,0.18896925449371338,0.04015442728996277,0.10143172740936279,0.02595735185325643
pca128_l2,9,0.15542474389076233,0.00018653273582458496,1,0.3050559479743242,0.29416426758474834,0.3358626746822934,0.3699730577329583,0.19334068894386292,0.1970832198858261,0.04627389833331108,0.11100658774375916,0.02191216447204259
pca128_l2,10,0.1584438532590866,0.0,0,0.30467740911990404,0.3206008862038225,0.3262861332515502,0.3531129805446273,0.19815830886363983,0.19916625320911407,0.04801424220204353,0.11635544896125793,0.020678822015052934
pca128_l2,11,0.15781883895397186,2.3692846298217773e-06,0,0.3062525540590286,0.3278349563548465,0.33392911908350126,0.3382359245616523,0.20102809369564056,0.20689275860786438,0.04966657608747482,0.11955538392066956,0.020127005692941697
pca128_l2,12,0.15219078958034515,0.0,0,0.304758891928941,0.31080889457560157,0.3351184921124342,0.3540726133119642,0.18974259495735168,0.1945953518152237,0.04427175596356392,0.10652701556682587,0.022594789842622424
pca128_l2,13,0.15479134023189545,0.00014664232730865479,1,0.3061268241144717,0.3182606133955061,0.3226740447366946,0.3590653418677993,0.18923038244247437,0.1898835301399231,0.04267849773168564,0.10516194999217987,0.023430208975699196
pca128_l2,14,0.1559118777513504,3.2007694244384766e-05,1,0.30574006913229823,0.31501896731202794,0.3388372064903273,0.3461438261976448,0.1964082568883896,0.1953209936618805,0.046673063188791275,0.11197967827320099,0.021265813879609508
pca128_l2,15,0.15590602159500122,0.0,0,0.305791303049773,0.30811137016432477,0.34232947831372845,0.3495591515219468,0.1966579556465149,0.19998468458652496,0.05156388133764267,0.12206149101257324,0.019319067452400345
pca128_l2,16,0.15583139657974243,1.043081283569336e-07,0,0.30393049074336886,0.3088555527341839,0.3426196765389025,0.34852477072691357,0.19171155989170074,0.19234170019626617,0.04232564941048622,0.10382068157196045,0.023643460701774057
pca128_l2,17,0.15647242963314056,0.00010597705841064453,1,0.3050842867232859,0.3109386043883688,0.32617620968140854,0.36288518593022273,0.19305554032325745,0.1936766505241394,0.04352550208568573,0.10722379386425018,0.02291576666743613
pca128_l2,18,0.15858708322048187,6.9588422775268555e-06,0,0.3043303210288286,0.3268181633310359,0.3363463383909168,0.33683549827804726,0.19966870546340942,0.2039700299501419,0.04786691069602966,0.11310189962387085,0.021183371202003247
