model,task,varied_factor,varied_value,K,rho,c_pert,c_bg,num_landmarks,B,diagnostic_seeds,nominal_knn,perturb_knn,candidate_gap_min,perturbation_threshold_max,S,R_K,T_bg,safety_margin,prominence_margin,safety_pass,background_pass,decision,reason,agreement_with_baseline,elapsed_sec,cache_hit
subjepa,cube,rho,0.6,3,0.6,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.38002509761582626,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.0018747060094028711,True
subjepa,cube,c_pert,1.5,3,0.5,1.5,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.004332948771301776,0.9850188232118696,0.2848932470462916,0.3194156178808116,0.4850188232118696,-0.03452237083451998,True,False,global,residual_gap_not_above_background,True,0.0018547470099292696,True
subjepa,cube,c_pert,2.0,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.0018820539698936045,True
subjepa,cube,c_pert,2.5,3,0.5,2.5,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.007221581285502959,0.9750313720197827,0.28200461453209047,0.3194156178808116,0.47503137201978274,-0.037411003348721106,True,False,global,residual_gap_not_above_background,True,0.0018661770154722035,True
subjepa,cube,c_bg,2.5,3,0.5,2.0,2.5,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.2853517535827478,0.48002509761582624,-0.0019028227935567466,True,False,global,residual_gap_not_above_background,True,0.001871817046776414,True
subjepa,cube,c_bg,3.0,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.0018703779787756503,True
subjepa,cube,c_bg,3.5,3,0.5,2.0,3.5,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.35347948217887537,0.48002509761582624,-0.07003055138968434,True,False,global,residual_gap_not_above_background,True,0.001861843978986144,True
subjepa,cube,M,10000,3,0.5,2.0,3.0,10000,3,"0,1,2",30,"27,33",0.2760623590406451,0.011014914600861903,0.9600999040972472,0.2650474444397832,0.35500915478400186,0.4600999040972472,-0.08996171034421868,True,False,global,residual_gap_not_above_background,True,0.0018863960285671055,False
subjepa,cube,M,15000,3,0.5,2.0,3.0,15000,3,"0,1,2",30,"27,33",0.28848130426660984,0.007849327984489785,0.9727908607303177,0.28063197628212005,0.3303597864425374,0.47279086073031773,-0.04972781016041733,True,False,global,residual_gap_not_above_background,True,0.0020201969891786575,False
subjepa,cube,M,20000,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.00213101995177567,True
subjepa,cube,B,3,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.0018986960058100522,True
subjepa,cube,B,5,3,0.5,2.0,3.0,20000,5,"0,1,2,3,4",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.0031139839556999505,False
subjepa,cube,B,10,3,0.5,2.0,3.0,20000,10,"0,1,2,3,4,5,6,7,8,9",30,"27,33",0.2892261958175934,0.00727732286179994,0.9748386454372565,0.28194887295579346,0.3850675832026886,0.4748386454372565,-0.10311871024689512,True,False,global,residual_gap_not_above_background,True,0.006167679966893047,False
subjepa,cube,kNN,"center=27,perturb=(24, 30)",3,0.5,2.0,3.0,20000,3,"0,1,2",27,"24,30",0.29124478008499854,0.006080826242501947,0.9791212524367741,0.2851639538424966,0.3194156178808116,0.47912125243677406,-0.03425166403831498,True,False,global,residual_gap_not_above_background,True,0.001895650988444686,False
subjepa,cube,kNN,"center=30,perturb=(27, 33)",3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.0019900769693776965,True
subjepa,cube,kNN,"center=33,perturb=(30, 36)",3,0.5,2.0,3.0,20000,3,"0,1,2",33,"30,36",0.28966051894141803,0.0057772650284023674,0.9800550484079924,0.28388325391301567,0.3194156178808116,0.4800550484079924,-0.03553236396779591,True,False,global,residual_gap_not_above_background,True,0.0019021120388060808,False
