task,seed,knn,global_idx,umap_1,umap_2,aligned_cluster,agrees_with_nominal
tworoom,0,27,42058,13.76544094,14.68344688,3,1
tworoom,0,27,42128,8.23589230,0.30313680,1,1
tworoom,0,27,42212,-2.16159368,1.49743640,1,1
tworoom,0,27,42250,-4.03799009,4.32468319,2,1
tworoom,0,27,42264,-4.44114637,3.45017600,2,1
tworoom,0,27,42268,-4.63448524,3.41586280,2,1
tworoom,0,27,42397,8.83782768,8.77410126,3,1
tworoom,0,27,42418,9.79744339,15.53050900,3,1
tworoom,0,27,42429,-2.07830739,13.65512943,2,1
tworoom,0,27,42463,-0.40817899,11.36848068,2,1
tworoom,0,27,42495,0.85112303,0.38055351,2,0
tworoom,0,27,42586,1.48950362,3.63777280,2,1
tworoom,0,27,42629,-5.18450785,0.76920426,2,1
tworoom,0,27,42641,-2.26128078,-5.30530405,1,1
tworoom,0,27,42714,14.67378044,9.68532658,3,1
tworoom,0,27,42718,13.84922314,8.45508766,3,1
tworoom,0,27,42724,13.16883945,9.71532440,3,1
tworoom,0,27,42729,11.86939621,8.60677910,3,1
tworoom,0,27,42735,11.38358212,6.49122906,3,1
tworoom,0,27,42778,2.11085224,4.59373665,2,1
tworoom,0,27,42800,3.50377917,-0.47568679,1,1
tworoom,0,27,42802,3.49925733,-0.47205576,1,1
tworoom,0,27,42828,11.00373173,-0.47407150,1,1
tworoom,0,27,42837,14.64447117,2.25335622,3,1
tworoom,0,27,42841,15.43187904,2.09529281,3,1
tworoom,0,27,42942,10.41926861,16.02890968,3,1
tworoom,0,27,42973,10.86125278,14.75290585,3,1
tworoom,0,27,42995,8.10708618,12.27877808,3,1
tworoom,0,27,43004,11.12703133,11.01381683,3,1
tworoom,0,27,43024,14.53352833,6.05863857,3,1
tworoom,0,27,43091,-1.78630197,10.57630444,2,1
tworoom,0,27,43154,-1.72881424,4.64269876,2,1
tworoom,0,27,43175,2.24856329,-5.12287188,1,1
tworoom,0,27,43332,8.91738892,14.92375469,3,1
tworoom,0,27,43355,8.39161873,13.76083565,3,1
tworoom,0,27,43364,7.60865593,8.51191139,3,1
