task,method,num_clusters,partition_seed,region_i,region_j,pi_i,pi_j,energy_i,energy_j,bures_squared,normalized_bures,q_ij,weight,fixed_action_factor_distance_squared,orthogonal_relaxation_gap,intercept_distance_squared
pusht,kmeanspp,4,0,0,3,0.23402125078849903,0.25863425612377167,0.07791498397528597,0.08248394358681646,0.08574248668128709,0.5345577304317684,0.2672788652158842,0.16498863786485962,0.08579748126063803,5.499457935094487e-05,0.011805590949286349
pusht,kmeanspp,4,0,1,2,0.2935342422277777,0.21381025085995162,0.07652135862445297,0.07847592765183356,0.06850110507449858,0.4419503510041695,0.22097517550208476,0.165318944056093,0.06923438945462454,0.0007332843801259592,0.016481408959263782
pusht,kmeanspp,4,0,1,3,0.2935342422277777,0.25863425612377167,0.07652135862445297,0.08248394358681646,0.0647781180200378,0.4073959617646428,0.2036979808823214,0.20514817524082837,0.06480765424956024,2.9536229522439394e-05,0.00857301579823494
pusht,kmeanspp,4,0,2,3,0.21381025085995162,0.25863425612377167,0.07847592765183356,0.08248394358681646,0.08898362374976876,0.5528311066914039,0.27641555334570195,0.15126673033283436,0.08910444892628028,0.0001208251765115187,0.014308474565014318
pusht,kmeanspp,4,1,0,1,0.21469179167581742,0.3049499985314959,0.08947682783599545,0.07470917491010962,0.07888198837832075,0.4804428334874731,0.24022141674373654,0.17296024834031146,0.07888547590077813,3.4875224573793773e-06,0.01724778658842349
pusht,kmeanspp,4,1,0,2,0.21469179167581742,0.248211383931409,0.08947682783599545,0.09056436818379757,0.10323684883179705,0.5734068152960259,0.28670340764801294,0.15437434226089766,0.10324706209413165,1.021326233459352e-05,0.015556662693312944
pusht,kmeanspp,4,1,0,3,0.21469179167581742,0.23214682586127766,0.08947682783599545,0.08038321825068079,0.09162626033648796,0.539422085695967,0.2697110428479835,0.13621832082577254,0.09174894531746422,0.00012268498097625646,0.022325667603210107
pusht,kmeanspp,4,1,1,2,0.3049499985314959,0.248211383931409,0.07470917491010962,0.09056436818379757,0.07881855496334475,0.4768975934554791,0.23844879672773955,0.20128887085308675,0.07886324095453981,4.468599119505923e-05,0.008556301844675072
pusht,kmeanspp,4,1,1,3,0.3049499985314959,0.23214682586127766,0.07470917491010962,0.08038321825068079,0.06975467452829742,0.44976206186966244,0.22488103093483122,0.17666396666732165,0.06976868343975927,1.4008911461846352e-05,0.012898311077803754
pusht,kmeanspp,4,1,2,3,0.248211383931409,0.23214682586127766,0.09056436818379757,0.08038321825068079,0.09501685893038023,0.5558245127186909,0.27791225635934547,0.15849425105261,0.09511472595916709,9.786702878686326e-05,0.01427955270947213
pusht,kmeanspp,4,2,0,1,0.21834858604973714,0.27573991784267543,0.07367220642132369,0.09062409557940959,0.07280627380779943,0.44314006414748447,0.22157003207374223,0.1715257892309659,0.07300772703408745,0.00020145322628802032,0.01755311444751494
pusht,kmeanspp,4,2,0,2,0.21834858604973714,0.21057691169643786,0.07367220642132369,0.07625915430562437,0.0812699578883111,0.5420477576823857,0.27102387884119283,0.11953779227014541,0.08133265828334511,6.270039503401825e-05,0.021807194333470406
