outer_seed,inner_restart,inner_seed,objective_final,niter,converged,cluster_frac_min,cluster_frac_mid,cluster_frac_max,fit_sec
5,11,500011,0.15634562075138092,93,1,0.3078211719391507,0.34018157175316005,0.35199725630768924,0.41176371928304434
5,12,500012,0.15381143987178802,103,1,0.3212967024028193,0.3336323254441187,0.345070972153062,0.45535892667248845
5,13,500013,0.15651583671569824,73,1,0.3221782894353556,0.322952151369153,0.3548695591954914,0.32332242699339986
5,14,500014,0.15805737674236298,129,1,0.32073829066649956,0.32934640544429455,0.34991530388920583,0.570816112216562
5,15,500015,0.15587638318538666,176,1,0.31129695522703066,0.32667636192555316,0.3620266828474162,0.7786883627995849
5,16,500016,0.1556289941072464,144,1,0.32000949739646023,0.32981248138169533,0.35017802122184444,0.6377579029649496
5,17,500017,0.15795354545116425,174,1,0.32173529744768464,0.3302477787194564,0.34801692383285904,0.7674227841198444
5,18,500018,0.15706157684326172,98,1,0.2852395729249453,0.35609850470967536,0.35866192236537936,0.43229580437764525
5,19,500019,0.1548250913619995,134,1,0.32442622644475294,0.3322461892246321,0.34332758433061494,0.5904460209421813
5,20,500020,0.1561470478773117,210,1,0.2891660428504061,0.3395835875315893,0.3712503696180046,0.9248442091047764
5,21,500021,0.15387052297592163,133,1,0.3042002895386838,0.34775310726451897,0.34804660319679726,0.5863654450513422
5,22,500022,0.15436361730098724,255,1,0.31577084453179705,0.3393252671417563,0.34490388832644664,1.1225503501482308
5,23,500023,0.15297836065292358,81,1,0.32623117146647934,0.3328430742105014,0.3409257543230192,0.3573413975536823
5,24,500024,0.15624947845935822,157,1,0.30853787361647445,0.33300136415150544,0.35846076223202006,0.6915675946511328
5,25,500025,0.15557894110679626,74,1,0.3155960660552718,0.3315195944259956,0.3528843395187326,0.3265407821163535
5,26,500026,0.15564152598381042,119,1,0.3231324260241854,0.3322461892246321,0.3446213847511825,0.5247968779876828
5,27,500027,0.15777288377285004,113,1,0.32147587782215026,0.3236974331747136,0.35482668900313613,0.49825732316821814
