preprocess,seed_a,seed_b,ari,nmi,label_agreement,centroid_cosine,restart_budget
zscore_kmeanspp_R1,10,15,0.18533716884609075,0.16520221437415303,0.5924242873929757,0.521422266960144,1
zscore_kmeanspp_R1,10,16,0.2790851675081321,0.2787246216653964,0.6130822239297017,0.5471193194389343,1
zscore_kmeanspp_R1,10,17,0.34472257155527936,0.3208747395597571,0.6986456316922843,0.704175074895223,1
zscore_kmeanspp_R1,10,18,0.2971767530255356,0.2972163953505122,0.6033320032581346,0.506430114308993,1
zscore_kmeanspp_R1,10,19,0.05031096888839024,0.04800776987567115,0.4314280280920676,0.2335439125696818,1
zscore_kmeanspp_R1,11,12,0.07364533606245889,0.06298689722989333,0.5078622833543837,0.389214426279068,1
zscore_kmeanspp_R1,11,13,0.12726228833664885,0.1376016933198265,0.5021869294279687,0.3531580368677775,1
zscore_kmeanspp_R1,11,14,0.10982371987302779,0.09999305335113004,0.5231658427895085,0.4154140055179596,1
zscore_kmeanspp_R1,11,15,0.23684175952354095,0.21234188571795928,0.64353325133035,0.5976029137770335,1
zscore_kmeanspp_R1,11,16,0.12289932002399724,0.11660724932291608,0.500169831915869,0.3625564326842626,1
zscore_kmeanspp_R1,11,17,0.12068877035278977,0.11002213675171373,0.4999126107617374,0.3616052319606145,1
zscore_kmeanspp_R1,11,18,0.19078754137677667,0.17260744255860355,0.6099746846017964,0.5624567667643229,1
zscore_kmeanspp_R1,11,19,0.04816823402240047,0.0477403243244552,0.42686619993118785,0.2073086757833759,1
zscore_kmeanspp_R1,12,13,0.11316398871034601,0.1189672942813082,0.49749868916142603,0.35031157235304516,1
zscore_kmeanspp_R1,12,14,0.11604983620093587,0.12479713809516657,0.4770540043507749,0.3356967568397522,1
zscore_kmeanspp_R1,12,15,0.07644778866006648,0.0681480294413344,0.5068894597586299,0.39441203077634174,1
zscore_kmeanspp_R1,12,16,0.10704491801717762,0.11837980652209351,0.453104956124007,0.29005008439222973,1
zscore_kmeanspp_R1,12,17,0.1358018501110503,0.1277929633381866,0.522267767221451,0.39964982867240906,1
zscore_kmeanspp_R1,12,18,0.10068123823824883,0.10364959935057301,0.47966578837734125,0.3454601764678955,1
zscore_kmeanspp_R1,12,19,0.05788747770259856,0.058375114417725894,0.421043548420783,0.21076351404190063,1
zscore_kmeanspp_R1,13,14,0.14184055067498813,0.1524608264297541,0.5067729407742796,0.3501015529036522,1
zscore_kmeanspp_R1,13,15,0.1372926848834445,0.14909932709599952,0.4803835892903664,0.31748558084170025,1
zscore_kmeanspp_R1,13,16,0.17736647432545527,0.20569806684815856,0.5138399270986883,0.37376409272352856,1
zscore_kmeanspp_R1,13,17,0.07957293302778794,0.08591955838528842,0.42295402006984545,0.20187104741732279,1
zscore_kmeanspp_R1,13,18,0.163464774313755,0.15205824604143367,0.5771943767498459,0.4901096721490224,1
zscore_kmeanspp_R1,13,19,0.08326640676415822,0.07571090143546272,0.5131792864421367,0.37108158071835834,1
zscore_kmeanspp_R1,14,15,0.2884221618366309,0.2527623247112432,0.6774325811263429,0.6687528888384501,1
zscore_kmeanspp_R1,14,16,0.2481587589026618,0.22248849554788894,0.6496724827227629,0.6345643003781637,1
zscore_kmeanspp_R1,14,17,0.18334055437962518,0.19134020937408705,0.5320872397422073,0.4155442764361699,1
zscore_kmeanspp_R1,14,18,0.1587577430677168,0.16043069933478,0.5300096842665295,0.41257476806640625,1
zscore_kmeanspp_R1,14,19,0.13046022333965399,0.11621197675567661,0.5497079880359186,0.44054530064264935,1
zscore_kmeanspp_R1,15,16,0.19106508764415234,0.16983817866128345,0.6016600657562796,0.5501896540323893,1
zscore_kmeanspp_R1,15,17,0.13107118414336638,0.12590524071369277,0.4995894354655208,0.36605968326330185,1
zscore_kmeanspp_R1,15,18,0.16565928138628536,0.16590893287226494,0.550152079259291,0.4572469890117645,1
zscore_kmeanspp_R1,15,19,0.16799992292209306,0.15153850225328916,0.5843493019303678,0.49911656975746155,1
zscore_kmeanspp_R1,16,17,0.1986779901601479,0.18614115597531763,0.5746705315793929,0.48878156145413715,1
