model,task,num_clusters,partition_seed,region,transition_count,episode_count,heldout_affine_mse,heldout_affine_mse_cluster_se,heldout_affine_mse_upper95,heldout_affine_l2,heldout_affine_l2_upper95
subjepa,tworoom,3,2,2,278021,7861,13.719489154155257,0.04612750516925946,13.795362147091932,3.7039828771412076,3.7142108377274345
subjepa,tworoom,4,0,0,215723,9653,22.650554974031618,0.06433329108742497,22.756373819476618,4.759259918730182,4.770364118123124
subjepa,tworoom,4,0,1,288264,8514,12.780955818901784,0.04009508028251848,12.846906356046773,3.5750462680784683,3.5842581318937916
subjepa,tworoom,4,0,2,164709,8008,15.643865887927479,0.06688912470960094,15.753888705506915,3.9552327223473815,3.9691168672019366
subjepa,tworoom,4,0,3,222767,6680,13.261896109909678,0.04941175960945177,13.343171220585619,3.6416886343988386,3.652830576496208
subjepa,tworoom,4,1,0,285928,8477,12.694146986828219,0.03983298669438501,12.75966641839123,3.5628846440529363,3.572067527132043
subjepa,tworoom,4,1,1,230742,6854,13.495010518429083,0.049679309754307024,13.57672570992397,3.67355556898614,3.684660867695149
subjepa,tworoom,4,1,2,160432,7915,15.641561040041308,0.06783819663565244,15.75314494199497,3.954941344703017,3.969023172267324
subjepa,tworoom,4,1,3,214361,9649,22.711577538004327,0.06388952071642777,22.81666644615702,4.76566653659321,4.776679437240584
subjepa,tworoom,4,2,0,283809,8446,12.705857690438057,0.04007625783669913,12.77177726741528,3.5645276952827927,3.573762340645399
subjepa,tworoom,4,2,1,233161,6877,13.582407589414654,0.04912222106146535,13.663206451567602,3.685431805014801,3.6963774768775446
subjepa,tworoom,4,2,2,177169,8311,16.331726697460294,0.06739817974168093,16.442586836041844,4.041253109799025,4.054945972025009
subjepa,tworoom,4,2,3,197324,9596,22.56538502645181,0.06757813318058659,22.676541162095177,4.75030367728757,4.761989202223707
